<DATE>	<OPEN>	<HIGH>	<LOW>	<CLOSE>	<TICKVOL>	<VOL>	<SPREAD>
2015.03.16	280.57	288.25	279.81	283.20	14251	0	0
2015.03.17	283.19	286.78	275.93	276.80	15311	0	0
2015.03.18	276.75	278.00	243.06	250.74	43871	0	0
2015.03.19	250.71	259.94	243.03	255.71	28821	0	0
2015.03.20	255.75	259.33	252.08	256.05	14201	0	0
2015.03.23	262.03	263.88	253.53	259.95	18621	0	0
2015.03.24	259.96	260.52	236.30	239.14	27621	0	0
2015.03.25	239.18	243.90	230.44	240.82	25281	0	0
2015.03.26	240.83	247.66	239.06	243.17	14861	0	0
2015.03.27	243.18	244.36	239.21	242.99	10111	0	0
2015.03.30	236.10	242.81	230.53	241.95	18711	0	0
2015.03.31	241.97	242.59	232.59	238.06	16091	0	0
2015.04.01	238.05	240.82	233.55	240.69	11901	0	0
2015.04.02	240.45	250.95	238.63	247.25	17841	0	0
2015.04.03	247.36	250.62	245.24	248.85	9271	0	0
2015.04.06	254.71	256.39	248.02	249.37	11401	0	0
2015.04.07	249.38	250.57	246.14	247.78	7261	0	0
2015.04.08	247.77	248.80	237.22	238.71	14101	0	0
2015.04.09	238.72	240.30	232.54	237.54	14341	0	0
2015.04.10	237.53	237.90	225.28	228.69	16401	0	0
2015.04.13	230.25	230.87	213.77	216.87	20821	0	0
2015.04.14	216.86	218.22	206.04	209.79	17291	0	0
2015.04.15	209.75	216.62	208.99	216.62	8391	0	0
2015.04.16	216.63	223.66	216.51	221.45	9481	0	0
2015.04.17	221.44	222.18	214.21	216.82	11321	0	0
2015.04.20	216.54	220.51	215.44	218.28	8401	0	0
2015.04.21	218.27	229.82	217.93	229.73	12321	0	0
2015.04.22	229.82	232.41	225.70	227.07	10671	0	0
2015.04.23	227.06	230.23	226.59	229.69	4651	0	0
2015.04.24	229.70	229.98	222.96	225.50	9841	0	0
2015.04.27	213.50	223.96	211.56	221.17	17131	0	0
2015.04.28	221.24	221.46	215.99	219.21	8911	0	0
2015.04.29	219.22	220.98	215.99	219.50	9701	0	0
2015.04.30	219.42	233.80	218.65	230.34	19381	0	0
2015.05.01	230.42	233.12	226.57	228.73	11411	0	0
2015.05.04	233.33	236.11	230.13	232.27	10901	0	0
2015.05.05	232.28	232.41	223.77	229.88	14881	0	0
2015.05.06	229.50	229.90	221.28	222.72	10461	0	0
2015.05.07	222.73	233.26	221.37	231.28	15231	0	0
2015.05.08	231.27	240.22	229.68	238.78	13571	0	0
