time,open,high,low,close,BuyBias,SellBias,TP1-Sell,TP1-Buy,TP2-Sell,TP2-Buy,TP3-Sell,TP3-Buy,Median,New Moon,First Moon,Waning,Full Moon,1/8,3/8,5/8,7/8,Spring,Summer,Fall,midwinter,PlotCandle (Open),PlotCandle (High,PlotCandle (Low),PlotCandle (Close),%K,%D
2015-10-29,400,400,376,377,390.6666666666667,386.6666666666667,382.4086666666667,394.92466666666667,382.7153333333334,399.95133333333337,370.1666666666667,407.16666666666674,388.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,400,400,376,377,13.989561341778092,14.89561341778091
2015-10-30,375,384,372,378,386.3333333333333,382.3333333333333,376.5473333333333,392.1193333333333,370.04866666666663,391.2846666666666,361.8333333333333,406.83333333333326,384.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,375,384,372,378,19.454929307146056,16.618685091591498
2015-11-02,373,376,354,359,380,376,374.798,381.202,373.382,382.618,367.5,388.5,378,NaN,NaN,NaN,NaN,NaN,NaN,330,NaN,0,0,0,0,373,376,354,359,10.833219753759485,14.759236800894547
2015-11-03,360,370,353,359,365,361,355.978,370.022,351.382,370.618,342.5,383.5,363,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,360,370,353,359,13.939113615339332,14.742420892081626
2015-11-04,361,366,355,356,362.6666666666667,358.6666666666667,355.5546666666667,365.77866666666665,352.7153333333334,366.95133333333337,345.1666666666667,376.16666666666674,360.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,361,366,355,356,10.006167129201357,11.592833499433391
2015-11-05,359,363,353,353,361,357,356.18,361.82,353.382,361.618,349.5,368.5,359,NaN,NaN,343,NaN,NaN,NaN,NaN,NaN,0,0,0,0,359,363,353,353,6.382978723404254,10.109419822648315
2015-11-06,353,361,353,355,358.3333333333333,354.3333333333333,353.8953333333333,358.7713333333333,351.04866666666663,358.2846666666666,347.8333333333333,364.83333333333326,356.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,353,361,353,355,5.026210299105765,7.13845205057046
2015-11-09,355,358,336,337,358.3333333333333,354.3333333333333,354.65933333333334,358.0073333333333,353.04866666666663,358.2846666666666,349.8333333333333,362.83333333333326,356.3333333333333,NaN,NaN,NaN,NaN,NaN,NaN,NaN,314,0,0,0,0,355,358,336,337,3.878942881500425,5.096043968003483
2015-11-10,335,350,329,342,345.6666666666667,341.6666666666667,336.6446666666667,350.6886666666667,330.7153333333334,349.95133333333337,323.1666666666667,364.16666666666674,343.6666666666667,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,335,350,329,342,15.590654593212138,8.165269257939444
2015-11-11,345,346,332,333,342.3333333333333,338.3333333333333,333.6933333333333,346.9733333333333,332.04866666666663,350.2846666666666,320.8333333333333,359.83333333333326,340.3333333333333,360,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,345,346,332,333,16.61367249602544,12.02775665691267
